BIRDSPECIES,MUSEUM_COLLECTION_SPECIMEN_NUMBER,MALE_FEMALE,BILL_LENGTH_mm,BILL_WIDTH_mm,WING_LENGTH_cm,DIST_OF_S1_TO_WING_TIP_cm,MUSEUM,NOTES
Petroica macrocephala,AV2268,female,11.8,4.6,7.1,1.2,canterbury_museum,
Phasianus colchicus,AV37713,male,31.1,18.9,24.5,7,canterbury_museum,
Phasianus colchicus,AV37210,male,33.7,16.3,26,9,canterbury_museum,
Phasianus colchicus,11505,female,28.7,15,21,6,te_papa_museum,
Phasianus colchicus,24730,female,27,15.5,22,5.5,te_papa_museum,
Philesturnus carunculatus,AV315,female,33.1,11.1,9,1,canterbury_museum,
Philesturnus carunculatus,AV1074,male,35.7,8.8,10,1.3,canterbury_museum,
Philesturnus carunculatus,AV2748,male,33.9,7,9.3,1.8,canterbury_museum,
Philesturnus carunculatus,AV2749,female,35.5,10,9.7,1.4,canterbury_museum,
Philesturnus rufusater,AV1097,female,27.2,8.4,8.3,1.3,canterbury_museum,
Philesturnus rufusater,AV308,male,33,10,10.2,1.7,canterbury_museum,
Philesturnus rufusater,AV311,female,31.2,10.2,9,1.3,canterbury_museum,
Philesturnus rufusater,AV307,male,32.7,7.7,9,1.3,canterbury_museum,
Platycercus eximius,AV6507,male,17,12.3,14.5,6,canterbury_museum,
Platycercus eximius,25661,male,14.2,12.4,16.5,7,te_papa_museum,
Platycercus eximius,16438,female,14,11,14.2,6,te_papa_museum,
Platycercus eximius,11581,female,15.4,12,14.2,6.5,te_papa_museum,
Porphyrio melanotus,23862,male,43.4,17.3,26,8,te_papa_museum,
Porphyrio melanotus,13639,male,44.4,17,28.8,9.5,te_papa_museum,
Porphyrio melanotus,16619,female,40.4,15.6,27,9,te_papa_museum,
Porphyrio melanotus,14526,female,39.6,17.2,27,9.5,te_papa_museum,
Prosthemadera novaeseelandiae,AV20743,female,28.9,10.5,14,3.5,canterbury_museum,
Prosthemadera novaeseelandiae,AV1062,male,31.6,13,15.5,2.4,canterbury_museum,
Prosthemadera novaeseelandiae,AV19602,female,31.1,10.6,13.3,2.5,canterbury_museum,
Prosthemadera novaeseelandiae,AV1050,male,31.7,12.7,15,3.5,canterbury_museum,
Rhipidura fuliginosa,AV919,male,10.3,5.3,7.5,1.5,canterbury_museum,
Rhipidura fuliginosa,AV979,male,9.7,6.2,7.5,2,canterbury_museum,
Rhipidura fuliginosa,AV923,female,10.7,6.3,7.4,1.6,canterbury_museum,
Rhipidura fuliginosa,14801,female,11.6,6.3,7.6,1.8,te_papa_museum,
Strigops habroptilus,DM4819,male,31.5,21,29,6,te_papa_museum,
Strigops habroptilus,19010,male,27.4,20.1,27,5.5,te_papa_museum,
Strigops habroptilus,OR028656,female,27.2,21.4,24,5,te_papa_museum,
Sturnus vulgaris,AV22227,male,28.8,9.4,12.2,4.6,canterbury_museum,
Sturnus vulgaris,OR11680,male,26.2,8.5,13,5,te_papa_museum,
Sturnus vulgaris,OR024733,female,29.5,9.2,12,5,te_papa_museum,
Sturnus vulgaris,OR024731,female,27.5,8.5,12.5,4.5,te_papa_museum,
Tadorna variegata,AV36,female,46.7,18.3,35,16,canterbury_museum,
Tadorna variegata,AV1517,male,53.9,20.4,37,17.5,canterbury_museum,
Tadorna variegata,AV37,male,52.3,20.3,39,21,canterbury_museum,
Tadorna variegata,AV39676,female,49.7,16.2,33,16,canterbury_museum,
Turdus merula,AV17423,male,28.6,12.4,12.6,3,canterbury_museum,
Turdus merula,AV12610,female,28.9,14.1,11.6,2.6,canterbury_museum,
Turdus merula,AV22229,female,29.3,14.7,12,2.5,canterbury_museum,
Turdus merula,AV22228,male,29.4,14.2,12.7,3,canterbury_museum,
Turdus philomelos,AV26715,female,23.6,11.5,11.2,3.2,canterbury_museum,
Turdus philomelos,AV1144,female,21.8,9.8,11.2,3,canterbury_museum,
Turdus philomelos,AV1134,male,24.7,11.3,11.9,3.2,canterbury_museum,
Turdus philomelos,24794,male,21.8,10.8,11.7,3.9,te_papa_museum,
Zosterops lateralis,AV2632,male,11.2,5.1,6.1,1.5,canterbury_museum,
Zosterops lateralis,AV1020,female,11,5.1,6.2,1.6,canterbury_museum,
Zosterops lateralis,AV1026,male,13.1,4.5,6,1.8,canterbury_museum,
Zosterops lateralis,24902,female,12.8,5,6,1.7,te_papa_museum,
